         10857816 function calls (10158985 primitive calls) in 16.977 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1118    0.009    0.000    0.124    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\values.py:936(__init__)
     2365    0.009    0.000    0.048    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typing\context.py:287(find_matching_getattr_template)
      198    0.009    0.000    0.009    0.000 {method 'read' of '_io.BufferedReader' objects}
     3784    0.009    0.000    0.048    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\builder.py:769(store)
     9351    0.009    0.000    0.059    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\cpu_options.py:16(__repr__)
      528    0.009    0.000    0.013    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\analysis.py:190(compute_live_variables)
    32321    0.009    0.000    0.009    0.000 {method 'rstrip' of 'str' objects}
    60587    0.009    0.000    0.009    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\types\abstract.py:96(key)
      379    0.009    0.000    0.009    0.000 {method '__exit__' of '_io._IOBase' objects}
  981/978    0.008    0.000    0.049    0.000 C:\Users\viola\miniconda3\Lib\inspect.py:2463(_signature_from_callable)
     9834    0.008    0.000    0.017    0.000 <frozen os>:754(encodekey)
    36883    0.008    0.000    0.008    0.000 {method 'items' of 'dict' objects}
    10049    0.008    0.000    0.038    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\binding\ffi.py:329(close)
     6532    0.008    0.000    0.038    0.000 <frozen _collections_abc>:811(__contains__)
  942/401    0.008    0.000    9.747    0.024 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typeinfer.py:585(resolve)
    10777    0.008    0.000    0.010    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\registry.py:67(__getitem__)
  630/342    0.008    0.000    0.116    0.000 C:\Users\viola\miniconda3\Lib\copy.py:217(_deepcopy_dict)
      205    0.008    0.000    0.044    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\inline_closurecall.py:1477(_inline_const_arraycall)
     1482    0.008    0.000    0.027    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\instructions.py:133(_descr)
       60    0.008    0.000    0.057    0.001 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\lowering.py:358(_find_singly_assigned_variable)
   124/35    0.008    0.000    9.895    0.283 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typeinfer.py:147(propagate)
     2859    0.008    0.000    0.013    0.000 C:\Users\viola\miniconda3\Lib\inspect.py:2729(__init__)
     3229    0.008    0.000    0.012    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\cpu_options.py:112(_get_values)
    64472    0.008    0.000    0.008    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\event.py:108(kind)
     8993    0.008    0.000    0.022    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\target_extension.py:53(get_local_target)
     6390    0.008    0.000    0.010    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\controlflow.py:368(_add_edge)
     9649    0.008    0.000    0.036    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\binding\ffi.py:372(__del__)
     4412    0.008    0.000    0.023    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\errors.py:489(catch_warnings)
    25939    0.007    0.000    0.007    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\controlflow.py:118(successors)
    29641    0.007    0.000    0.007    0.000 {method 'insert' of 'list' objects}
    10260    0.007    0.000    0.016    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\target_extension.py:15(__getitem__)
3770/2445    0.007    0.000    8.994    0.004 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typing\templates.py:348(apply)
      884    0.007    0.000    0.014    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\controlflow.py:579(_find_back_edges)
     1165    0.007    0.000    0.167    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\cgutils.py:362(alloca_once)
    16074    0.007    0.000    0.017    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\types.py:30(__ne__)
     3146    0.007    0.000    0.036    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\event.py:422(trigger_event)
     3643    0.007    0.000    0.014    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\analysis.py:66(fix_point_progress)
9896/9647    0.007    0.000    0.018    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\values.py:455(_get_reference)
    27457    0.007    0.000    0.007    0.000 {built-in method _ctypes.byref}
      246    0.007    0.000    0.009    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typing\templates.py:1158(make_overload_attribute_template)
  5318/40    0.007    0.000    0.059    0.001 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\ir.py:1141(__deepcopy__)
      792    0.007    0.000    0.101    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typing\npydecl.py:92(generic)
